trait_category,trait_full,trait_clean,Forest ecology - Y/N,"Year of earliest publication w/o ""remote sens*""","Count of references w/o ""remote sens*""","Search (w/o ""remote sens*"")","Year of earliest publication w/ ""remote sens*""","Count of references w/ ""remote sens*""",add to search in first TS,List of references (horizontal),,,,,,,,,,,,,,,,,,,,,
Morphological,hue angle,hue angle,N,NA,,"( TI=( ""hue angle"" ) OR TS=( ""hue angle"" ) OR ALL=( ""hue angle"" ) )",2015,,,Balota & Oakes 2016,,,,,,,,,,,,,,,,,,,,,
Morphological,land cover classification,land cover type,Y,2010,82,"TS =( ""cover classif*"" OR ""veg* classifi*"" OR ""land classifi*"" ) ",1991,1336,,Ahmed et al. 2017,Boon & Tesfamichael 2017,Cornejo-Denman et al. 2018,van Iersel et al. 2018,Liu & Abd-Elrahman et al. 2018,Mishra et al. 2018,Liu et al. 2018,,,,,,,,,,,,,,,
Morphological,leaf area index,LAI,Y,2006,225,"TS =( ""leaf area index"" OR LAI )",1990,2093,,Santini et al. 2019,Li et al. 2014 (see Table 1),Potgieter et al. 2017,Berni et al. 2009,Guillen-Climent et al. 2012,Liebisch et al. 2015,Shi et al. 2016,Shimojima et al. 2017,Xue et al. 2017,Franceschini et al. 2017,Tian et al. 2017,Potgieter et al. 2017,Maimaitijiang et al. 2017,Tomelleri & Aguilar 2018,Hassan et al. 2018,Spindel et al. 2018,Chiluwal et al. 2018,Santini et al. 2019,Yao et al. 2017,Yue et al. 2018,,
Morphological,leaf mass per area,LMA,Y,2018,21,"TS =( ""leaf mass per area"" OR LMA OR ""dry matter"" ) ",1994,126,,Inostroza et al. 2016,Romero-Trigueros et al. 2017,Thomson et al. 2018,,,,,,,,,,,,,,,,,,,
Morphological,panicle length,panicle length,N,2017,,"TS =(""panicle* length*"" OR ""length* of panicle*"") ",2015,,,Shimojima et al. 2017,,,,,,,,,,,,,,,,,,,,,
Morphological,plant area index,PAI,Y,2016,6,"TS =(""plant area index"" OR PAI) ",1991,1336," OR ""remote sens*""",Inostroza et al. 2016,Klosterman & Richardson 2017,,,,,,,,,,,,,,,,,,,,
Morphological,plant/canopy cover,canopy cover,Y,2013,108,"TS =(""plant cover*"" OR ""canopy cover*"")",1991,718,,Li et al. 2014 (see Table 1),Laliberte & Rango 2009,Liebisch et al. 2015,Shi et al. 2016,Duan et al. 2016,Franceschini et al. 2017,Potgieter et al. 2017,Patrick & Li 2017,Ravi et al. 2018,Makanza et al. 2018,Meng et al. 2018,Olsoy et al. 2018,Nolet et al. 2018,Sankaran et al. 2018,Li et al. 2018,Han et al. 2018,Xu et al. 2019,Yang et al. 2019,Thorp et al. 2018,Tu et al. 2019,,
Physiological,plant/canopy temperature,canopy temperature,Y,2009,45,"TS =(""plant temp*"" OR ""leaf temp*"" OR ""canopy temp*"")",1999,144,,Li et al. 2014 (see Table 1),Ludovisi et al. 2017,Berni et al. 2009,Tattaris et al. 2016,Winney et al. 2017,Kefauver et al. 2017,Joalland et al. 2018,Hassan et al. 2018,Sagan et al. 2019,Santini et al. 2019,,,,,,,,,,,,
Morphological,root architecture,root architecture,N,2022,,"( TI=(""root architect*"" OR ""root morph*"") OR TS=(""root architect*"" OR ""root morph*"") OR ALL=(""root architect*"" OR ""root morph*"") )",2009,,,Li et al. 2014 (see Table 1),Chiluwal et al. 2018,,,,,,,,,,,,,,,,,,,,
Morphological,shoot dry weight,shoot dry weight,N,2016,,"( TI=(""shoot dry weight"") OR TS=(""shoot dry weight"") OR ALL=(""shoot dry weight"") ) ",1992,,,Na et al. 2017,Park et al. 2018,Chiluwal et al. 2018,,,,,,,,,,,,,,,,,,,
Morphological,stem volume,stem volume,Y,2013,37,"TS =(""stem volume"")",1993,315,,Santini et al. 2019,Abdollahnejad et al. 2018,Navarro et al. 2018,Jaakola et al. 2017,Goodbody et al. 2016,Puliti et al. 2015,Salo et al. 2012,,,,,,,,,,,,,,,
Morphological,count of flowers,count of flowers,N,2016,,"( TI=(""flower* count*"" OR ""count* of flower*"" OR ""number* of flower*"") OR TS=(""flower* count*"" OR ""count* of flower*"" OR ""number* of flower*"") OR ALL=(""flower* count*"" OR ""count* of flower*"" OR ""number* of flower*"") )",2006,,,Wan et al. 2018,,,,,,,,,,,,,,,,,,,,,
Morphological,crown size,crown size,Y,2012,38,"TS =(""crown size"" OR ""crown wid*"") ",1994,119,,,,,,,,,,,,,,,,,,,,,,,
Morphological,leaf angle,leaf angle,Y,2016,4,"TS =(""leaf angle"")",1991,36,,Wang et al. 2019,Burkart et al. 2015,,,,,,,,,,,,,,,,,,,,
