Trait category,Trait,WoS search,RGB,multispectral,hyperspectral,thermal,lidar
biochemical,foliar potassium,"(TS=(""un* aerial system*"" OR ""un* aerial vehicle*"" OR UAS or UAV) NOT TS=(""upstream activation"" OR bee OR ""Gal4-UAS"" OR queen OR ""black carbon"" OR nano* OR aortic)) AND TS=(forest OR tree) AND TS =(potassium)",0,2,1,0,0
biodiversity,species richness,"(TS=(""un* aerial system*"" OR ""un* aerial vehicle*"" OR UAS or UAV) NOT ALL=(""upstream activation"" OR bee OR ""Gal4-UAS"" OR queen OR ""black carbon"" OR nano* OR aortic)) AND TS=(forest OR tree) AND TS =(""species richness"")",7,2,3,0,4
morphological,stem volume,"(TS=(""un* aerial system*"" OR ""un* aerial vehicle*"" OR UAS or UAV) NOT ALL=(""upstream activation"" OR bee OR ""Gal4-UAS"" OR queen OR ""black carbon"" OR nano* OR aortic)) AND TS=(forest OR tree) AND TS =(""stem volume"")",14,3,0,1,9
phenological,senescence,"(TS=(""un* aerial system*"" OR ""un* aerial vehicle*"" OR UAS or UAV) NOT ALL=(""upstream activation"" OR bee OR ""Gal4-UAS"" OR queen OR ""black carbon"" OR nano* OR aortic)) AND TS=(forest OR tree) AND TS =(senescence)",7,5,1,1,0
physiological,carotenoids,"(TS=(""un* aerial system*"" OR ""un* aerial vehicle*"" OR UAS or UAV) NOT TS=(""upstream activation"" OR bee OR ""Gal4-UAS"" OR queen OR ""black carbon"" OR nano* OR aortic)) AND TS =(""carotenoid*"")",1,8,7,3,3
population,stem density,"(TS=(""un* aerial system*"" OR ""un* aerial vehicle*"" OR UAS or UAV) NOT ALL=(""upstream activation"" OR bee OR ""Gal4-UAS"" OR queen OR ""black carbon"" OR nano* OR aortic)) AND TS=(forest OR tree) AND TS =(""stem density"")",3,0,0,0,5
